"","Location","Sex","Age","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9_1","Q9_2","Q9_3","Q9_4","Q9_5","Q9_6","Q9_7","Q9_8","Q9_9","Q9_10","Q17","Q18","Q19","Q20","Q21","Q22","Q23","Q27_1","Q27_2"
"1","Center","male","35-44",1,NA,1,1,1,0,0,0,0,-1,-1,-1,-1,-2,-2,1,0,-1,0,-1,-1,-1,-2,0,1,-1,NA
"2","Center","female","65+",-2,1,-1,0,0,-2,-1,-1,0,0,1,-2,-2,-2,1,1,-1,1,1,NA,-1,-2,1,NA,NA,0,-1
"3","Jerusalem","female","65+",0,1,-1,1,-1,1,-1,-2,-1,-2,0,-1,0,-1,0,NA,0,-1,-1,-2,0,1,-2,0,-1,0,0
"4","North","female","45-54",0,0,1,1,1,1,-1,1,1,-1,1,-2,1,-2,1,1,1,1,-1,1,0,-1,0,0,1,0,1
"5","Jerusalem","female","45-54",NA,NA,-2,1,NA,NA,-1,1,1,0,1,NA,NA,-1,1,NA,NA,1,-2,NA,-1,-2,1,0,NA,0,0
"6","North","male","65+",1,2,-1,1,1,1,-1,0,-1,-1,0,-2,-1,-2,0,1,0,-1,-1,0,-2,0,-1,-1,-2,-1,-1
"7","Tel Aviv","female","18-24",1,0,-2,1,1,1,-1,-2,0,1,1,0,0,-2,0,-2,1,0,-2,1,-2,-2,-1,1,1,1,0
"8","Center","female","18-24",0,1,-1,-1,0,-1,-2,1,0,NA,-1,NA,0,-1,0,-1,0,0,-2,0,0,-2,0,0,NA,NA,NA
"9","Tel Aviv","male","18-24",1,1,0,0,1,-1,1,0,1,1,0,0,0,-1,0,-1,NA,1,-1,1,-2,-2,1,-2,-1,0,NA
"10","North","female","18-24",0,1,-1,-1,0,-1,-2,-1,0,1,0,0,1,-2,1,-2,-1,1,-1,1,-1,NA,-2,1,1,-1,-1
"11","Center","male","18-24",2,-1,-2,NA,-2,-1,0,0,0,0,0,1,0,0,0,1,-1,-1,1,-1,-1,-2,-1,0,-1,1,0
"12","Haifa","male","18-24",2,2,1,1,1,-2,-2,1,1,1,0,-2,1,-2,0,-2,0,0,1,1,0,-2,1,0,-1,0,0
"13","Haifa","male","18-24",-2,2,-2,-2,-2,-2,-2,-1,1,1,1,-1,1,1,1,1,1,1,-2,-2,-1,1,-2,-1,-2,1,1
"14","Tel Aviv","female","18-24",-2,2,-2,1,1,-2,-2,1,1,1,1,1,1,-2,1,-1,1,1,-2,1,0,-2,0,0,1,1,0
"15","Jerusalem","female","18-24",1,2,0,-2,1,-2,-2,1,0,-1,0,-1,0,-2,-1,-2,-1,1,-1,1,-2,-2,1,-2,1,-1,-2
"16","South","male","18-24",2,2,0,1,1,1,-1,1,1,-2,-2,-2,-1,-2,-2,1,0,-2,1,-1,1,-2,1,1,-2,-2,-1
"17","Tel Aviv","female","18-24",-1,1,-1,-2,1,-1,-2,1,1,1,1,1,1,0,1,0,1,1,0,-2,0,0,0,1,1,1,0
"18","North","female","18-24",-1,2,-1,0,1,-1,-2,1,1,-2,-1,NA,-1,-2,-1,-2,NA,NA,-2,1,-2,-2,1,1,0,0,1
"19","South","male","18-24",2,2,-1,1,1,0,-1,0,1,0,0,1,0,-2,0,-1,-1,-1,-1,1,0,-2,1,0,-1,0,-1
"20","Judea and Samaria","male","18-24",2,2,0,1,1,0,-1,-1,0,-1,0,0,-1,-2,-1,-1,-1,-1,-1,-2,NA,0,0,0,-2,-1,0
"21","Judea and Samaria","female","18-24",0,1,-1,-1,1,0,0,0,0,0,0,-1,-1,-2,-1,-2,-1,-1,-1,-1,-2,-2,1,-1,0,-1,-1
"22","Judea and Samaria","male","18-24",-1,2,-2,-1,-1,-2,1,1,1,1,1,1,1,-1,1,NA,1,1,-1,0,0,-2,1,1,1,0,-1
"23","Jerusalem","female","18-24",0,1,0,1,1,0,-1,-2,1,-2,-1,-1,-1,-2,0,1,0,-1,0,0,0,0,-1,1,-1,-1,1
"24","Jerusalem","female","18-24",0,1,-2,-1,1,-1,-1,-2,1,-1,-2,-1,-1,0,-1,-1,-1,0,0,-2,-1,0,-1,1,1,-1,0
"25","Tel Aviv","male","18-24",-2,2,0,-2,1,-1,-2,1,1,1,1,-2,0,-2,0,-2,0,1,0,1,0,-2,1,-1,-1,0,0
"26","Center","female","18-24",1,2,-2,-1,1,-1,-1,1,1,-1,0,-1,1,-2,1,-2,-2,1,-1,0,0,-1,0,-1,0,-1,1
"27","Tel Aviv","female","18-24",-2,2,-2,-1,-1,-1,1,1,1,1,1,1,1,1,1,0,-1,1,-1,1,1,-2,1,1,1,1,0
"28","Judea and Samaria","female","18-24",1,1,0,0,1,-1,-1,0,0,-1,-1,NA,0,-2,-1,-1,0,NA,0,-1,-1,-2,0,0,0,-1,-1
"29","Center","male","18-24",1,2,-1,1,1,1,-1,1,1,0,0,1,-1,-2,-1,-2,-2,-1,1,1,-2,-2,-1,-2,-2,1,-1
"30","North","female","18-24",1,1,0,0,1,-1,-1,0,0,-2,-2,-2,-1,-2,-1,-1,0,0,1,-2,-2,-2,-1,0,-2,-1,-1
"31","South","female","18-24",-2,0,0,0,1,-1,-1,-1,-1,-1,0,-1,0,-1,0,-1,0,0,-1,-1,1,-1,0,1,-2,1,-1
"32","Tel Aviv","male","18-24",-1,1,-1,0,1,-1,-1,1,1,0,0,-2,0,-2,0,0,1,0,-1,-1,0,-1,0,-1,1,0,1
"33","North","male","18-24",1,2,-1,0,1,-2,-1,1,0,-1,-1,-2,-1,-2,-2,-1,-1,-1,-1,-1,-1,-1,NA,-2,-2,-1,-1
"34","Center","male","18-24",1,1,-1,0,1,-1,-1,-2,-1,-1,-1,-1,1,-1,1,1,1,1,-2,1,-1,0,-1,1,1,-1,1
"35","Center","male","18-24",0,2,0,0,1,1,1,-2,-2,-2,1,0,0,-2,-2,0,-2,-1,-1,0,-1,-2,1,-1,-1,0,0
"36","Center","female","18-24",0,2,-2,-1,-1,-2,-2,1,0,-1,1,-2,1,-2,1,1,0,1,-2,-2,-1,-2,0,1,0,-1,-1
"37","South","male","18-24",0,1,0,-1,1,-1,-1,1,-1,0,1,-2,-1,-2,-1,1,-1,1,0,1,-1,1,0,-1,1,-1,1
"38","South","male","18-24",0,1,-1,0,1,-1,-1,0,0,0,1,-2,0,-1,0,-1,0,1,-1,1,-2,-2,1,0,0,-1,1
"39","Tel Aviv","male","18-24",1,-1,-2,-1,1,-2,0,-1,-1,-1,1,NA,-1,0,-1,1,0,-2,-2,0,1,-1,0,1,1,1,1
"40","Center","female","18-24",1,NA,0,0,1,0,-1,1,-1,-2,0,-1,-1,0,-2,1,1,1,0,0,1,0,0,0,-1,-2,-1
"41","South","female","18-24",0,1,-1,-1,1,-2,-1,-1,0,1,-1,0,0,0,0,0,1,0,0,-2,-2,-2,1,1,1,0,0
"42","South","male","18-24",0,2,-1,0,0,1,-2,1,1,1,0,-2,0,-2,1,1,1,1,-2,1,0,-2,1,1,1,1,1
"43","Jerusalem","male","18-24",1,1,-1,-1,1,-2,0,-2,0,1,1,-2,0,-2,-1,-1,1,1,1,-2,1,1,1,1,NA,1,1
"44","Center","female","18-24",0,0,0,0,1,0,-1,1,0,-1,0,-2,0,-1,-1,0,0,0,0,0,-1,-2,0,-2,-2,-1,-1
"45","Center","female","18-24",0,1,-1,-2,1,-2,0,1,1,-2,-1,-1,-1,-2,-2,-2,1,1,-2,1,-2,-1,0,-1,-1,-1,1
"46","Tel Aviv","female","18-24",-2,0,0,-1,1,0,0,1,0,0,1,-2,1,-2,-1,-1,0,0,-2,0,0,-2,1,1,-1,-1,-1
"47","South","male","18-24",1,2,0,1,1,-1,0,1,0,0,0,-1,-1,0,-1,0,-1,-2,0,1,0,-2,0,-1,-1,0,-1
"48","Tel Aviv","male","18-24",0,0,-1,-2,0,0,0,1,0,-1,-2,1,-1,-2,0,-1,0,0,0,-1,0,-2,0,-2,1,-2,-1
"49","Haifa","male","18-24",0,1,0,0,1,-2,-1,1,0,1,1,-2,-2,-2,-2,-2,-2,-1,-2,1,-1,-2,1,-1,1,1,-1
"50","South","female","18-24",-2,-1,-1,0,1,1,-2,0,1,-1,1,-2,1,-2,1,1,1,1,-2,-2,-2,-2,1,-1,1,1,1
"51","Center","male","18-24",1,1,0,0,1,1,-1,-2,0,-2,0,-2,0,-2,0,0,-1,-1,-1,-1,-2,-1,0,-1,0,-1,-2
