"","Location","Sex","Age","Q1","Q2","Q3","Q4","Q5","Q8","Q10","Q18","Q19","Q20","Q21"
"1","Center","male","35-44",1,NA,2,2,2,1,"2",-1,-1,-1,-2
"2","Center","female","65+",-2,1,-1,1,1,-1,"0",NA,-1,-2,2
"3","Jerusalem","female","65+",0,1,-1,2,-1,-2,"1",-2,1,2,-2
"4","North","female","45-54",0,0,2,2,2,2,"2",2,1,-1,1
"5","Jerusalem","female","45-54",NA,NA,-2,2,NA,2,"0",NA,-1,-2,2
"6","North","male","65+",1,2,-1,2,2,1,"0",1,-2,1,-1
"7","Tel Aviv","female","18-24",1,0,-2,2,2,-2,"0",2,-2,-2,-1
"8","Center","female","18-24",0,1,-1,-1,1,2,"2",1,1,-2,1
"9","Tel Aviv","male","18-24",1,1,1,1,2,1,"2",2,-2,-2,2
"10","North","female","18-24",0,1,-1,-1,1,-1,"2",2,-1,NA,-2
"11","Center","male","18-24",2,-1,-2,NA,-2,1,"2",-1,-1,-2,-1
"12","Haifa","male","18-24",2,2,2,2,2,2,"2",2,1,-2,2
"13","Haifa","male","18-24",-2,2,-2,-2,-2,-1,"1",-2,-1,2,-2
"14","Tel Aviv","female","18-24",-2,2,-2,2,2,2,"2",2,1,-2,1
"15","Jerusalem","female","18-24",1,2,1,-2,2,2,"2",2,-2,-2,2
"16","South","male","18-24",2,2,1,2,2,2,"2",-1,2,-2,2
"17","Tel Aviv","female","18-24",-1,1,-1,-2,2,2,"2",-2,1,1,1
"18","North","female","18-24",-1,2,-1,1,2,2,"0",2,-2,-2,2
"19","South","male","18-24",2,2,-1,2,2,1,"2",2,1,-2,2
"20","Judea and Samaria","male","18-24",2,2,1,2,2,-1,"0",-2,NA,1,1
"21","Judea and Samaria","female","18-24",0,1,-1,-1,2,1,"0",-1,-2,-2,2
"22","Judea and Samaria","male","18-24",-1,2,-2,-1,-1,2,"2",1,1,-2,2
"23","Jerusalem","female","18-24",0,1,1,2,2,-2,"2",1,1,1,-1
"24","Jerusalem","female","18-24",0,1,-2,-1,2,-2,"2",-2,-1,1,-1
"25","Tel Aviv","male","18-24",-2,2,1,-2,2,2,"2",2,1,-2,2
"26","Center","female","18-24",1,2,-2,-1,2,2,"NA",1,1,-1,1
"27","Tel Aviv","female","18-24",-2,2,-2,-1,-1,2,"2",2,2,-2,2
"28","Judea and Samaria","female","18-24",1,1,1,1,2,1,"2",-1,-1,-2,1
"29","Center","male","18-24",1,2,-1,2,2,2,"2",2,-2,-2,-1
"30","North","female","18-24",1,1,1,1,2,1,"2",-2,-2,-2,-1
